問題ID,年度,セクション,問題番号,正答,正答率,英語問題,画像問題,連問,計算問題,問題文,症例文,選択肢,Web表示用,タグ,最終更新,ソース,コンテンツ,データ状態
115E34,115,E,34,c,86.1,No,No,No,No,"37歳の初妊婦(1妊0産)。妊娠26週。血糖値の異常を指摘され紹介受診した。妊娠初期から妊婦健康診査を受けていた。妊娠24週時に施行された50gブドウ糖負荷試験で血糖値156mg/dLであったため精査のため紹介となった。既往歴に特記すべきものはない。身長156cm、体重75kg(非妊時69kg)。体温37.0°C。脈拍 76/分、整。血圧122/76mmHg。呼吸数18/分。尿蛋白(-),尿糖(±)。来院後に施行した75g経口ブドウ糖負荷試験〈OGTT〉は、空腹時血糖値90mg/dL、1時間値192mg/dL、2時間値138mg/dLであった。 今後の管理としてまず行うのはどれか。",,"a. 運動療法
b. 経過観察
c. 食事療法
d. インスリン投与
e. 経口血糖降下薬投与","115E34
37歳の初妊婦(1妊0産)。妊娠26週。血糖値の異常を指摘され紹介受診した。妊娠初期から妊婦健康診査を受けていた。妊娠24週時に施行された50gブドウ糖負荷試験で血糖値156mg/dLであったため精査のため紹介となった。既往歴に特記すべきものはない。身長156cm、体重75kg(非妊時69kg)。体温37.0°C。脈拍 76/分、整。血圧122/76mmHg。呼吸数18/分。尿蛋白(-),尿糖(±)。来院後に施行した75g経口ブドウ糖負荷試験〈OGTT〉は、空腹時血糖値90mg/dL、1時間値192mg/dL、2時間値138mg/dLであった。 今後の管理としてまず行うのはどれか。

a 運動療法
b 経過観察
c 食事療法
d インスリン投与
e 経口血糖降下薬投与",,2025年8月17日 22:10 (JST),base_data,"解答:
正解:c(正答率 86.1%)",notion_existing
115E35,115,E,35,b,61,No,No,No,No,38歳の男性。職場で床に落ちた書類を拾おうと屈んだところ、腰痛と右下腿痛が出現したため受診した。既往歴に特記すべきことはない。身長165cm、体重58kg。体温36.7°C。脈拍 80/分、整。腰椎X線写真で異常を認めず、腰部単純MRIで第4腰椎と第5腰椎間の右側に椎間板ヘルニアを認めた。 この患者で認められないのはどれか。,,"a. 疼痛性跛行
b. 会陰部の異常感覚
c. 右下腿外側の感覚鈍麻
d. 右母趾背屈筋力の低下
e. 右下肢伸展挙上テスト陽性","115E35
38歳の男性。職場で床に落ちた書類を拾おうと屈んだところ、腰痛と右下腿痛が出現したため受診した。既往歴に特記すべきことはない。身長165cm、体重58kg。体温36.7°C。脈拍 80/分、整。腰椎X線写真で異常を認めず、腰部単純MRIで第4腰椎と第5腰椎間の右側に椎間板ヘルニアを認めた。 この患者で認められないのはどれか。

a 疼痛性跛行
b 会陰部の異常感覚
c 右下腿外側の感覚鈍麻
d 右母趾背屈筋力の低下
e 右下肢伸展挙上テスト陽性",,2025年8月17日 22:10 (JST),base_data,"解答:
正解:b(正答率 61.0%)",notion_existing
115E36,115,E,36,d,97.7,No,Yes,No,No,78歳の女性。左前胸部痛を主訴に来院した。今朝6時ころ歯磨き中、突然、左前胸部痛が出現した。症状は今回が初めてで、左前胸部全体が締め付けられるような痛みであった。その感覚は咽頭部から左肩に放散し、冷汗を伴っていた。横になって休んでいたところ、症状は約20分で消失した。心配した家族とともに午前10時30分に受診した。体温36.5°C。脈拍 76/分、整。血圧100/78mmHg。呼吸数18/分。SpO2 98%(room air)。心音と呼吸音とに異常を認めない。腹部の診察で異常を認めない。直ちに施行した心電図を次に示す。心エコー検査で前壁から心尖部にわずかに壁運動低下を認めた。 この時点で、まず確認すべきなのはどれか。,,"a. FDG-PET
b. 運動負荷心電図
c. 心筋シンチグラフィ
d. 心筋トロポニンT
e. 脳性ナトリウム利尿ペプチド〈BNP〉","115E36
78歳の女性。左前胸部痛を主訴に来院した。今朝6時ころ歯磨き中、突然、左前胸部痛が出現した。症状は今回が初めてで、左前胸部全体が締め付けられるような痛みであった。その感覚は咽頭部から左肩に放散し、冷汗を伴っていた。横になって休んでいたところ、症状は約20分で消失した。心配した家族とともに午前10時30分に受診した。体温36.5°C。脈拍 76/分、整。血圧100/78mmHg。呼吸数18/分。SpO2 98%(room air)。心音と呼吸音とに異常を認めない。腹部の診察で異常を認めない。直ちに施行した心電図を次に示す。心エコー検査で前壁から心尖部にわずかに壁運動低下を認めた。 この時点で、まず確認すべきなのはどれか。

a FDG-PET
b 運動負荷心電図
c 心筋シンチグラフィ
d 心筋トロポニンT
e 脳性ナトリウム利尿ペプチド〈BNP〉",画像問題,2025年8月17日 22:11 (JST),base_data,"解答:
正解:d(正答率 97.7%)",notion_existing
115E37,115,E,37,c,72.3,No,No,No,No,23歳の男性。咳嗽および血痰を主訴に来院した。3日前から乾性咳嗽が出現し、激しくせき込むようになった。今朝、咳嗽時に少量の血痰が1回出現したため心配になって受診した。悪心や嘔吐はなく、食欲良好で体重減少や盗汗はない。結核曝露歴や最近1ヵ月の海外渡航歴はない。既往歴に特記すべきことはなく、喫煙歴と飲酒歴はない。意識は清明。診察中には咳嗽が時々出るが血痰は出ていない。身長160cm、体重72kg。体温36.1°C。脈拍 72/分、整。血圧122/58mmHg。呼吸数12/分。口腔内と咽頭に異常はなく、頸部リンパ節腫脹を認めない。心音と呼吸音とに異常を認めない。 この時点で最も事前確率の高い疾患はどれか。,,"a. 肺癌
b. 気管支喘息
c. 急性気管支炎
d. Goodpasture症候群
e. 好酸球性多発血管炎性肉芽腫症〈Churg-Strauss症候群〉","115E37
23歳の男性。咳嗽および血痰を主訴に来院した。3日前から乾性咳嗽が出現し、激しくせき込むようになった。今朝、咳嗽時に少量の血痰が1回出現したため心配になって受診した。悪心や嘔吐はなく、食欲良好で体重減少や盗汗はない。結核曝露歴や最近1ヵ月の海外渡航歴はない。既往歴に特記すべきことはなく、喫煙歴と飲酒歴はない。意識は清明。診察中には咳嗽が時々出るが血痰は出ていない。身長160cm、体重72kg。体温36.1°C。脈拍 72/分、整。血圧122/58mmHg。呼吸数12/分。口腔内と咽頭に異常はなく、頸部リンパ節腫脹を認めない。心音と呼吸音とに異常を認めない。 この時点で最も事前確率の高い疾患はどれか。

a 肺癌
b 気管支喘息
c 急性気管支炎
d Goodpasture症候群
e 好酸球性多発血管炎性肉芽腫症〈Churg-Strauss症候群〉",,2025年8月17日 22:11 (JST),base_data,"解答:
正解:c(正答率 72.3%)",notion_existing
115E38,115,E,38,e,90.5,No,No,No,No,"9ヵ月の男児。RSウイルス感染症による呼吸窮迫とチアノーゼのため入院中である。在胎40週、体重3,250gで出生した。呼吸心拍モニターのアラームが鳴ったため、医師が病室に行ったところ児の顔色不良を認め、気道開通の体位をとった。末梢静脈ルートは確保されていて蘇生のための準備は整っている。心拍数50/分、整。呼吸数10/分。SpO2 60%(酸素テント40%酸素投与下)。呼吸音は両側弱く喘鳴を認める。右上腕動脈の脈は触知した。 直ちに行う処置はどれか。",,"a. 除細動
b. 胸骨圧迫
c. アドレナリン静注
d. 吸入酸素濃度増加
e. バッグバルブマスク換気","115E38
9ヵ月の男児。RSウイルス感染症による呼吸窮迫とチアノーゼのため入院中である。在胎40週、体重3,250gで出生した。呼吸心拍モニターのアラームが鳴ったため、医師が病室に行ったところ児の顔色不良を認め、気道開通の体位をとった。末梢静脈ルートは確保されていて蘇生のための準備は整っている。心拍数50/分、整。呼吸数10/分。SpO2 60%(酸素テント40%酸素投与下)。呼吸音は両側弱く喘鳴を認める。右上腕動脈の脈は触知した。 直ちに行う処置はどれか。

a 除細動
b 胸骨圧迫
c アドレナリン静注
d 吸入酸素濃度増加
e バッグバルブマスク換気",,2025年8月17日 22:11 (JST),base_data,"解答:
正解:e(正答率 90.5%)",notion_existing
115E39,115,E,39,c,92.2,No,No,No,No,70歳の女性。腰背部痛を主訴に来院した。1年前に右乳癌で乳房切除術を受けたが、その後肝、肺および腰椎に転移が認められていた。薬物による抗癌治療を選択せず、通院せずに自宅での療養を希望した。1ヵ月前から右腰背部に鈍痛を自覚し、1週前から増強するために受診した。疼痛に対しNSAIDの投与が開始されたが、疼痛で眠れないため、本日受診時に硫酸モルヒネの投与が追加された。 今後注意すべき症状に含まれないのはどれか。,,"a. 黄疸
b. 悪心
c. 下痢
d. 下肢麻痺
e. 呼吸困難","115E39
70歳の女性。腰背部痛を主訴に来院した。1年前に右乳癌で乳房切除術を受けたが、その後肝、肺および腰椎に転移が認められていた。薬物による抗癌治療を選択せず、通院せずに自宅での療養を希望した。1ヵ月前から右腰背部に鈍痛を自覚し、1週前から増強するために受診した。疼痛に対しNSAIDの投与が開始されたが、疼痛で眠れないため、本日受診時に硫酸モルヒネの投与が追加された。 今後注意すべき症状に含まれないのはどれか。

a 黄疸
b 悪心
c 下痢
d 下肢麻痺
e 呼吸困難",,2025年8月17日 22:11 (JST),base_data,"解答:
正解:c(正答率 92.2%)",notion_existing
115E4,115,E,4,d,96.8,No,No,No,No,肥満のある高血圧症の患者が行動変容の準備期に入ったと考えられるのはどれか。,,"a. 毎食の塩辛い漬物がやめられない。
b. 1週間、食事の塩分制限を続けている。
c. 1年以上、ウォーキングを毎日続けている。
d. 明日から食後のジョギングを始めるつもりでいる。
e. 半年後にくる誕生日から間食を減らそうと思っている。","115E4
肥満のある高血圧症の患者が行動変容の準備期に入ったと考えられるのはどれか。

a 毎食の塩辛い漬物がやめられない。
b 1週間、食事の塩分制限を続けている。
c 1年以上、ウォーキングを毎日続けている。
d 明日から食後のジョギングを始めるつもりでいる。
e 半年後にくる誕生日から間食を減らそうと思っている。",,2025年8月17日 22:09 (JST),base_data,"解答:
正解:d(正答率 96.8%)",notion_existing
115E40,115,E,40,e,89.3,No,Yes,No,No,"60歳の男性。右片麻痺と言語障害を主訴に救急車で搬入された。現在高血圧症で内服加療中である。今朝起きて1時間後から右手足の動きが悪く、言葉が出にくいことに気付いた。意識はJCSI-1.体温36.5°C,心拍数90/分、整。血圧160/94mmHg。呼吸数16/分。SpO2 96%(room air)。運動性失語を認める。右片麻痺は徒手筋力テストで上下肢共に3.心電図は洞調律であった。胸部X線写真で異常を認めない。頭部単純CTで異常を認めない。血液所見: 赤血球 450 万、Hb 14.2 g/dL、Ht 42 %、白血球 8,800、血小板 18 万、PT-INR 1.0 (基準0.9〜1.1)。血液生化学所見: 尿素窒素 15 mg/dL、クレアチニン 0.8 mg/dL、血糖 102 mg/dL、Na 140 mEq/L、K 3.7 mEq/L、Cl 99 mEq/L。血液検査の結果が出るまでに施行した頭部MRIの拡散強調像では、左中大脳動脈領域の一部で限局性に淡い高信号域を認めた。発症から90分経過している。 まず急速静注すべき薬剤はどれか。",,"a. β遮断薬
b. ベラパミル
c. 塩化カリウム
d. 副腎皮質ステロイド
e. t-PA〈tissue plasminogen activator〉","115E40
60歳の男性。右片麻痺と言語障害を主訴に救急車で搬入された。現在高血圧症で内服加療中である。今朝起きて1時間後から右手足の動きが悪く、言葉が出にくいことに気付いた。意識はJCSI-1.体温36.5°C,心拍数90/分、整。血圧160/94mmHg。呼吸数16/分。SpO2 96%(room air)。運動性失語を認める。右片麻痺は徒手筋力テストで上下肢共に3.心電図は洞調律であった。胸部X線写真で異常を認めない。頭部単純CTで異常を認めない。血液所見: 赤血球 450 万、Hb 14.2 g/dL、Ht 42 %、白血球 8,800、血小板 18 万、PT-INR 1.0 (基準0.9〜1.1)。血液生化学所見: 尿素窒素 15 mg/dL、クレアチニン 0.8 mg/dL、血糖 102 mg/dL、Na 140 mEq/L、K 3.7 mEq/L、Cl 99 mEq/L。血液検査の結果が出るまでに施行した頭部MRIの拡散強調像では、左中大脳動脈領域の一部で限局性に淡い高信号域を認めた。発症から90分経過している。 まず急速静注すべき薬剤はどれか。

a β遮断薬
b ベラパミル
c 塩化カリウム
d 副腎皮質ステロイド
e t-PA〈tissue plasminogen activator〉",画像問題,2025年8月17日 22:11 (JST),base_data,"解答:
正解:e(正答率 89.3%)",notion_existing
115E41,115,E,41,e,99.6,No,No,Yes,No,診断はどれか。,,"a. 急性冠症候群
b. 脂肪塞栓
c. 心膜炎
d. 大動脈解離
e. 肺血栓塞栓症","115E41
診断はどれか。

a 急性冠症候群
b 脂肪塞栓
c 心膜炎
d 大動脈解離
e 肺血栓塞栓症",連問,2025年8月17日 22:11 (JST),base_data,"-42 基準値
次の文を読み，41，42の問いに答えよ．
75歳の男性．呼吸困難を主訴に受診した．
現病歴：3日前に飛行機で1泊2日の旅行をし，2日前に帰宅した．機内では約3時間座っていた．帰宅した翌日に右下肢のむくみと痛みが出現した．受診日の朝起床後に急に労作時の息切れが出現したため，受診した．受診時，呼吸困難を訴えている．
既往歴：60歳時に進行胃癌で胃全摘を受けた．術後5年間再発なく，通院終了となった．70歳から高血圧症，糖尿病に対し，降圧薬，経口血糖降下薬を内服中．
アレルギー歴：特記すべきことはない．
生活歴：喫煙は40本/日を40年間，15年前に禁煙．飲酒は日本酒1合を週1回．妻と2人暮らし．偏食はない．
家族歴：特記すべきことはない．
現症：意識は清明．身長162cm，体重60kg．体温36.1℃．脈拍112/分，整．血圧90/55mmHg，左右差はない．呼吸数28/分．SpO2 91％（room air）．眼瞼結膜は貧血様で，眼球結膜に黄染を認めない．口腔内と咽頭に異常を認めない．頸静脈怒張を認める．甲状腺と頸部リンパ節を触知しない．心音と呼吸音とに異常を認めない．腹部は平坦，軟で，正中に手術痕を認める．右下腿は腫脹しており，圧痕性浮腫，熱感および発赤を認める．両側足背動脈は触知良好である．
検査所見：尿所見：蛋白（－），糖（－），ケトン体（－），潜血（－）．血液所見：赤血球250万，Hb 8.4g/dL，Ht 33％，MCV 132fL，白血球10,200（好中球80％，好酸球1％，好塩基球1％，単球2％，リンパ球16％，好中球の核過分葉を認める），血小板10万，PT-INR 1.0（基準0.9〜1.1），APTT 31.6秒（基準対照32.2），Dダイマー2.3μg/mL（基準1.0以下）．血液生化学所見：総ビリルビン1.0mg/dL，AST 21U/L，ALT 9U/L，LD 306U/L（基準120〜245），ALP 187U/L（基準115〜359），CK 60U/L（基準30〜140），尿素窒素11mg/dL，クレアチニン0.6mg/dL，血糖114mg/dL，HbA1c 6.9％（基準4.6〜6.2），Na 140mEq/L，K 4.1mEq/L，Cl 105mEq/L，Ca 8.4mg/dL．CRP 2.9mg/dL．
心電図（A）及",notion_existing
115E42,115,E,42,d,99.5,No,No,Yes,No,入院後呼吸状態が安定した。病棟内歩行を再開したところ、洗面所で洗顔時に転倒した。詳しく問診すると、以前から、夜間に暗い場所ではふらつくようなことがあったという。 予想される診察所見はどれか。 E041,,"a. 静止時振戦
b. 眼球運動障害
c. Horner徴候陽性
d. Romberg徴候陽性
e. Chvostek徴候陽性","115E42
入院後呼吸状態が安定した。病棟内歩行を再開したところ、洗面所で洗顔時に転倒した。詳しく問診すると、以前から、夜間に暗い場所ではふらつくようなことがあったという。 予想される診察所見はどれか。 E041

a 静止時振戦
b 眼球運動障害
c Horner徴候陽性
d Romberg徴候陽性
e Chvostek徴候陽性",連問,2025年8月17日 22:11 (JST),web_display_added,"115E42
入院後呼吸状態が安定した。病棟内歩行を再開したところ、洗面所で洗顔時に転倒した。詳しく問診すると、以前から、夜間に暗い場所ではふらつくようなことがあったという。 予想される診察所見はどれか。 E041
a 静止時振戦
b 眼球運動障害
c Horner徴候陽性
d Romberg徴候陽性
e Chvostek徴候陽性
================================================================================",notion_existing
115E43,115,E,43,c,80.9,No,No,Yes,No,心電図所見として、正しいのはどれか。,,"a. 洞調律
b. 心室頻拍
c. 心室ペーシング
d. 完全右脚ブロック
e. 完全房室ブロック","115E43
心電図所見として、正しいのはどれか。

a 洞調律
b 心室頻拍
c 心室ペーシング
d 完全右脚ブロック
e 完全房室ブロック",連問,2025年8月17日 22:11 (JST),base_data,"-44 基準値
次の文を読み，43，44の問いに答えよ．
84歳男性．発熱と左側胸部痛を主訴に来院した．
現病歴：5日前から咽頭痛と37℃前後の微熱があり，市販の感冒薬を内服したが発熱は持続していた．2日前から徐々に左側胸部の持続性の疼痛が出現した．痛みは呼吸に伴い増悪する．今朝になって，左側胸部痛が強くなっており心配になって受診した．冷汗や意識消失はない．
既往歴：徐脈性心房細動，Ⅱ度の僧帽弁閉鎖不全，心不全，高血圧症で，抗血栓薬とアンジオテンシン変換酵素〈ACE〉阻害薬，利尿薬を内服中である．5年前に徐脈性心房細動に対し，ペースメーカー植込み術を受けた．
家族歴：父が85歳時に脳出血で死亡．母が80歳時に胃癌で死亡．
現症：意識は清明．身長158cm，体重56kg．体温37.6℃．脈拍60/分，整．血圧120/80mmHg．呼吸数18/分．SpO2 98％（room air）．
左下胸部に，打診で濁音，聴診で呼吸音の減弱および胸膜摩擦音を認める．胸部に圧痛を認めない．心音は，Ⅲ音と心尖部を最強とするLevine 3/6の全収縮期雑音を聴取する．
心電図（A）及び胸部X線写真（B）を次に示す．
[E043]
心電図所見として，正しいのはどれか．
ａ　洞調律
10.9%
ｂ　心室頻拍
0.1%
ｃ　心室ペーシング
80.9%
ｄ　完全右脚ブロック
7.3%
ｅ　完全房室ブロック
0.8%
[E044]
検査結果を示す．
検査所見：尿所見：蛋白（－），糖（－）．血液所見：赤血球450万，Hb 13.3g/dL，Ht 40％，白血球9,800（桿状核好中球2％，分葉核好中球58％，好酸球3％，好塩基球1％，単球8％，リンパ球28％），血小板18万．血液生化学所見：AST 36U/L，ALT 38U/L，LD 263U/L（基準120〜245），CK 88U/L（基準30〜140），尿素窒素12mg/dL，クレアチニン0.8mg/dL．CRP 8.2mg/dL．
考えられるのはどれか．
ａ　気胸
0.1%
ｂ　胸膜炎
94.9%
ｃ　大動脈解離
0.1%
ｄ　肺血栓塞栓症
0.1%
ｅ　ウイルス性心筋炎
4.8%
リトライ
[掲載頁：QB2026 Z-299]
E043
解答:
正解:c(正答率 80.9%)
結果:
E044
解答:
正解:b(正答率 94.9%)",notion_existing
115E44,115,E,44,b,94.9,No,No,Yes,No,"検査結果を示す。 検査所見: 尿所見: 蛋白(-),糖(-)。血液所見: 赤血球 450 万、Hb 13.3 g/dL、Ht 40 %、白血球 9,800(桿状核好中球2%、分葉核好中球58%、好酸球3%、好塩基球1%、単球8%、リンパ球28%),血小板 18 万。血液生化学所見: AST 36 U/L、ALT 38 U/L、LD 263 U/L (基準120〜245)、CK 88U/L (基準30〜140)、尿素窒素 12 mg/dL、クレアチニン 0.8 mg/dL.CRP 8.2 mg/dL。考えられるのはどれか。 E043",,"a. 気胸
b. 胸膜炎
c. 大動脈解離
d. 肺血栓塞栓症
e. ウイルス性心筋炎","115E44
検査結果を示す。 検査所見: 尿所見: 蛋白(-),糖(-)。血液所見: 赤血球 450 万、Hb 13.3 g/dL、Ht 40 %、白血球 9,800(桿状核好中球2%、分葉核好中球58%、好酸球3%、好塩基球1%、単球8%、リンパ球28%),血小板 18 万。血液生化学所見: AST 36 U/L、ALT 38 U/L、LD 263 U/L (基準120〜245)、CK 88U/L (基準30〜140)、尿素窒素 12 mg/dL、クレアチニン 0.8 mg/dL.CRP 8.2 mg/dL。考えられるのはどれか。 E043

a 気胸
b 胸膜炎
c 大動脈解離
d 肺血栓塞栓症
e ウイルス性心筋炎",連問,2025年8月17日 22:11 (JST),web_display_added,"115E44
検査結果を示す。 検査所見: 尿所見: 蛋白(-),糖(-)。血液所見: 赤血球 450 万、Hb 13.3 g/dL、Ht 40 %、白血球 9,800(桿状核好中球2%、分葉核好中球58%、好酸球3%、好塩基球1%、単球8%、リンパ球28%),血小板 18 万。血液生化学所見: AST 36 U/L、ALT 38 U/L、LD 263 U/L (基準120〜245)、CK 88U/L (基準30〜140)、尿素窒素 12 mg/dL、クレアチニン 0.8 mg/dL.CRP 8.2 mg/dL。考えられるのはどれか。 E043
a 気胸
b 胸膜炎
c 大動脈解離
d 肺血栓塞栓症
e ウイルス性心筋炎
================================================================================",notion_existing
115E45,115,E,45,b,99.4,No,No,Yes,No,直ちに行うべき処置はどれか。,,"a. 胃洗浄
b. 気管挿管
c. アトロピン静注
d. フロセミド静注
e. プレドニゾロン静注","115E45
直ちに行うべき処置はどれか。

a 胃洗浄
b 気管挿管
c アトロピン静注
d フロセミド静注
e プレドニゾロン静注",連問,2025年8月17日 22:11 (JST),base_data,"-46 基準値
次の文を読み，45，46の問いに答えよ．
28歳の女性．意識障害のため救急車で搬入された．
現病歴：自室内のベッドで仰向けに倒れているのを友人が発見し，呼びかけに反応が乏しいため救急車を要請した．友人とはその3時間前に電話にて口論となり「死にたい」などと話した後に連絡が取れなくなったという．救急車到着時，自室内の戸棚に錠剤の空包が多数あった．
既往歴：うつ病の診断で3ヵ月前から三環系抗うつ薬とベンゾジアゼピン系睡眠薬を服用中．1ヵ月前にも過量服薬による意識障害で他院に緊急入院している．
生活歴：喫煙歴と飲酒歴はない．仕事は事務職で半年前に部署が変わり，ストレスが多いと感じていたという．
家族歴：特記すべきことはない．
現症：意識レベルはJCSⅢ-100．身長158cm，体重45kg．体温36.7℃．心拍数108/分，整．血圧108/60mmHg．呼吸数24/分．SpO2 91％（リザーバー付マスク10L/分酸素投与下）．舌根沈下が強く，いびき様の呼吸をしている．皮膚はやや乾燥している．眼瞼結膜と眼球結膜とに異常を認めない．瞳孔径は両側6.0mm正円で，対光反射は両側で遅延している．頸静脈の怒張は認めない．甲状腺腫と頸部リンパ節とを触知しない．心音に異常を認めない．腹部は平坦，軟で，肝・脾を触知しない．腸雑音はやや弱い．四肢に麻痺はなく，腱反射は正常である．心電図は洞調律で不整はないが，QRS幅が広がりQT間隔の延長を認める．ST-T変化は認めない．
[E045]
直ちに行うべき処置はどれか．
ａ　胃洗浄
0.5%
ｂ　気管挿管
99.4%
ｃ　アトロピン静注
0.1%
ｄ　フロセミド静注
0.0%
ｅ　プレドニゾロン静注
0.0%
[E046]
診察により肺炎の合併が疑われた．
誤嚥性肺炎の所見と合致しないのはどれか．
ａ　胸郭打診による濁音
0.2%
ｂ　胸壁触診による皮下握雪感
99.0%
ｃ　視診による口腔内の吐物残渣
0.1%
ｄ　聴診によるcoarse cracklesの聴取
0.1%
ｅ　聴診による呼吸音の減弱
0.5%
リトライ
[掲載頁：QB2026 Z-615]
E045
解答:
正解:b(正答率 99.4%)
結果:
E046
解答:
正解:b(正答率 99.0%)",notion_existing
115E46,115,E,46,b,99,No,No,Yes,No,診察により肺炎の合併が疑われた。 誤嚥性肺炎の所見と合致しないのはどれか。 E045,,"a. 胸郭打診による濁音
b. 胸壁触診による皮下握雪感
c. 視診による口腔内の吐物残渣
d. 聴診によるcoarse cracklesの聴取
e. 聴診による呼吸音の減弱","115E46
診察により肺炎の合併が疑われた。 誤嚥性肺炎の所見と合致しないのはどれか。 E045

a 胸郭打診による濁音
b 胸壁触診による皮下握雪感
c 視診による口腔内の吐物残渣
d 聴診によるcoarse cracklesの聴取
e 聴診による呼吸音の減弱",連問,2025年8月17日 22:11 (JST),web_display_added,"115E46
診察により肺炎の合併が疑われた。 誤嚥性肺炎の所見と合致しないのはどれか。 E045
a 胸郭打診による濁音
b 胸壁触診による皮下握雪感
c 視診による口腔内の吐物残渣
d 聴診によるcoarse cracklesの聴取
e 聴診による呼吸音の減弱
================================================================================",notion_existing
115E47,115,E,47,e,85.5,No,No,Yes,No,診察にあたり誤っている感染予防策はどれか。,,"a. 個室での診察
b. 直腸診実施時のゴーグルの着用
c. 入室時のディスポーザブルガウンの着用
d. 便検体採取時のサージカルマスクの着用
e. 診察後の次亜塩素酸ナトリウムによる手指衛生","115E47
診察にあたり誤っている感染予防策はどれか。

a 個室での診察
b 直腸診実施時のゴーグルの着用
c 入室時のディスポーザブルガウンの着用
d 便検体採取時のサージカルマスクの着用
e 診察後の次亜塩素酸ナトリウムによる手指衛生",連問,2025年8月17日 22:11 (JST),base_data,"-48 基準値
次の文を読み，47，48の問いに答えよ．
75歳の男性．発熱，腹痛および下痢のため救急車で搬入された．
現病歴：10日前から左下腿蜂窩織炎のために入院して抗菌薬の点滴を行い，改善したため抗菌薬を内服投与に切り替えて4日前に退院した．2日前から発熱，腹痛および1日5回以上の水様下痢が出現した．経口摂取と体動が困難となったため同居する妻が救急車を要請した．退院後に食中毒の原因となり得る食物の摂取歴はない．周囲に同じ症状の人はいない．
既往歴：50歳台から高血圧症で降圧薬を服用中である．66歳時に2型糖尿病と診断され1年前からインスリン治療を行っている．
生活歴：妻と2人暮らし．喫煙歴はない．飲酒は機会飲酒．
家族歴：兄が糖尿病で治療中である．
現症：意識は清明．身長168cm，体重73kg．体温38.6℃．心拍数120/分，整．血圧136/70mmHg．呼吸数20/分．SpO2 96％（room air）．皮膚のツルゴールは低下している．眼瞼結膜と眼球結膜とに異常は認めない．口腔内は乾燥している．心音と呼吸音とに異常を認めない．腹部は平坦，軟で肝・脾を触知しない．下腹部に圧痛があるが反跳痛はない．腸雑音は亢進している．四肢は下腿に発赤や熱感を認めない．
検査所見：血液所見：赤血球490万，Hb 14.3g/dL，Ht 42％，白血球18,200（好中球84％，好酸球1％，単球3％，リンパ球12％），血小板20万，血液生化学所見：総蛋白6.2g/dL，アルブミン3.8g/dL，総ビリルビン0.4mg/dL，AST 30U/L，ALT 38U/L，尿素窒素40mg/dL，クレアチニン1.8mg/dL，尿酸9.6mg/dL，血糖158mg/dL．CRP 4.3mg/dL．
[E047]
診察にあたり誤っている感染予防策はどれか．
ａ　個室での診察
6.5%
ｂ　直腸診実施時のゴーグルの着用
5.2%
ｃ　入室時のディスポーザブルガウンの着用
1.2%
ｄ　便検体採取時のサージカルマスクの着用
1.6%
ｅ　診察後の次亜塩素酸ナトリウムによる手指衛生
85.5%
[E048]
便を用いた検査のうち，診断に最も有用なのはどれか．
ａ　脂肪染色
0.1%
ｂ　潜血
0.2%
ｃ　虫卵
0.2%
ｄ　毒素検出
72.0%
ｅ　培養
27.4%
リトライ
[掲載頁：QB",notion_existing
115E48,115,E,48,d,72,No,No,Yes,No,便を用いた検査のうち、診断に最も有用なのはどれか。 E047,,"a. 脂肪染色
b. 潜血
c. 虫卵
d. 毒素検出
e. 培養","115E48
便を用いた検査のうち、診断に最も有用なのはどれか。 E047

a 脂肪染色
b 潜血
c 虫卵
d 毒素検出
e 培養",連問,2025年8月17日 22:11 (JST),web_display_added,"115E48
便を用いた検査のうち、診断に最も有用なのはどれか。 E047
a 脂肪染色
b 潜血
c 虫卵
d 毒素検出
e 培養
================================================================================",notion_existing
