問題ID,年度,セクション,問題番号,正答,正答率,英語問題,画像問題,連問,計算問題,問題文,症例文,選択肢,Web表示用,タグ,最終更新
117C69,117,C,69,,,,,,,,,,"-71 基準値
次の文を読み，69〜71の問いに答えよ．
58歳の男性．胸痛を主訴に救急車で搬入された．
現病歴：数日前から労作時や夜間就寝時に胸部圧迫感があったが，約30分で治まるため様子をみていた．本日，草野球の試合に出て活躍していたが，突然，強い胸痛が出現したため救急車を要請した．
既往歴：2年前から高血圧症で降圧薬を内服している．
生活歴：妻と2人暮らし．会社員で営業の仕事をしている．
家族歴：父が高血圧症．
現症：体温37.2℃．心拍数108/分，整．血圧78/58mmHg．呼吸数24/分．SPO2 99％（リザーバー付マスク10L/分　酸素投与下）．顔面蒼白で冷汗を認める．心音は微弱で軽度の拡張期雑音を聴取する．呼吸音に異常を認めない．
検査所見：血液所見：Hb 10.2g/dL，白血球10,100，血小板15万．血液生化学所見：CK 230U/L（基準30〜140），CK-MB 20U/L（基準20以下），尿素窒素25mg/dL，クレアチニン1.1mg/dL．CRP 3.2mg/dL．心筋トロポニンT迅速検査陰性．心電図（A）と心エコー検査を施行した後，胸部造影CT（B）を行った．
[C069]
この患者で考えられるのはどれか．2つ選べ．
ａ　急性心膜炎
0.5%
ｂ　急性心筋梗塞
8.0%
ｃ　収縮性心膜炎
0.6%
ｄ　急性大動脈解離
92.5%
ｅ　心タンポナーデ
98.4%
[C070]
この患者の心エコー検査で認められる所見はどれか．
ａ　下大静脈の虚脱
3.1%
ｂ　拡張期の右室の虚脱
18.2%
ｃ　収縮期の右房の拡大
15.2%
ｄ　上行大動脈基部の狭窄
16.9%
ｅ　下大静脈径の呼吸性変動の増加
46.6%
[C071]
この患者への対応で最も適切なのはどれか．
ａ　電気的除細動
0.1%
ｂ　β遮断薬の静注
0.3%
ｃ　人工血管置換術
89.1%
ｄ　経皮的冠動脈ステント留置術
6.4%
ｅ　大動脈ステントグラフト内挿術
4.1%
リトライ
[掲載頁：QB2026 C-262]
C069
解答:
正解:d,e(正答率 91.1%)
結果:
C070
解答:
正解:b(正答率 18.2%)
結果:
C071
解答:
正解:c(正答率 89.1%)",,
117D11,117,D,11,,,,,,,,,,"解答:
正解:a,b(正答率 15.9%)",,
117D12,117,D,12,,,,,,,,,,"解答:
正解:a,b,e(正答率 82.6%)",,
117D25,117,D,25,,,,,,,,,,"解答:
正解:a,d,e(正答率 53.7%)",,
117D32,117,D,32,,,,,,,,,,"解答:
正解:a,b,e(正答率 27.4%)",,
117D45,117,D,45,,,,,,,,,,"解答:
正解:a,d(正答率 94.2%)",,
117D47,117,D,47,,,,,,,,,,"解答:
正解:d,e(正答率 47.4%)",,
117D48,117,D,48,,,,,,,,,,"解答:
正解:a,c(正答率 28.4%)",,
117D51,117,D,51,,,,,,,,,,"解答:
正解:d,e(正答率 37.6%)",,
117D62,117,D,62,,,,,,,,,,"解答:
正解:b,c(正答率 38.3%)",,
117D7,117,D,7,,,,,,,,,,"解答:
正解:d,e(正答率 73.8%)",,
117F10,117,F,10,,,,,,,,,,"解答:
正解:a,e(正答率 64.5%)",,
117F18,117,F,18,,,,,,,,,,"解答:
正解:b,e(正答率 70.0%)",,
117F2,117,F,2,,,,,,,,,,"解答:
正解:c,d(正答率 97.7%)",,
117F23,117,F,23,,,,,,,,,,"解答:
正解:a,b,c(正答率 71.9%)",,
117F25,117,F,25,,,,,,,,,,"解答:
正解:a,b(正答率 27.4%)",,
117F31,117,F,31,,,,,,,,,,"解答:
正解:b,d(正答率 51.7%)",,
117F46,117,F,46,,,,,,,,,,"解答:
正解:a,b,c(正答率 86.6%)",,
117F47,117,F,47,,,,,,,,,,"解答:
正解:a,e(正答率 97.4%)",,
117F5,117,F,5,,,,,,,,,,"解答:
正解:a,c,e(正答率 97.3%)",,
117F52,117,F,52,,,,,,,,,,"解答:
正解:b,c,d(正答率 82.3%)",,
117F56,117,F,56,,,,,,,,,,"解答:
正解:a,c(正答率 84.6%)",,
117F67,117,F,67,,,,,,,,,,117F67: 画像あり -->,,
117F7,117,F,7,,,,,,,,,,"解答:
正解:a,c(正答率 91.2%)",,
117F70,117,F,70,,,,,,,,,,"117F70
薬物療法で改善しない症状に対して、在宅生活を継続するために必要なのはどれか。3つ選べ。 F068
a 嚥下訓練
b 住宅改修
c 歩行訓練
d 失語症訓練
e 短下肢装具
================================================================================",,
118A13,118,A,13,,,,,,,,,,"解答:
正解:b,e(正答率 97.7%)",,
118A14,118,A,14,,,,,,,,,,"解答:
正解:a,b,c(正答率 90.3%)",,
118A68,118,A,68,,,,,,,,,,"解答:
正解:a,d(正答率 94.5%)",,
118A69,118,A,69,,,,,,,,,,"解答:
正解:a,d(正答率 96.3%)",,
118A70,118,A,70,,,,,,,,,,"解答:
正解:b,e(正答率 86.6%)",,
118A71,118,A,71,,,,,,,,,,"解答:
正解:a,b(正答率 14.9%)",,
118A72,118,A,72,,,,,,,,,,"解答:
正解:b,c,e(正答率 81.0%)",,
118A73,118,A,73,,,,,,,,,,"解答:
正解:a,c,d(正答率 96.9%)",,
118A74,118,A,74,,,,,,,,,,"解答:
正解:b,d,e(正答率 61.2%)",,
118C30,118,C,30,,,,,,,,,,"解答:
正解:c,e(正答率 95.2%)",,
118C31,118,C,31,,,,,,,,,,"解答:
正解:b,c(正答率 98.9%)",,
118C32,118,C,32,,,,,,,,,,"解答:
正解:c,d(正答率 97.6%)",,
118C33,118,C,33,,,,,,,,,,"解答:
正解:d,e(正答率 93.9%)",,
118C34,118,C,34,,,,,,,,,,"解答:
正解:c,d,e(正答率 73.6%)",,
118C58,118,C,58,,,,,,,,,,"解答:
正解:a,c(正答率 69.0%)",,
118C59,118,C,59,,,,,,,,,,"解答:
正解:a,e(正答率 98.6%)",,
118C62,118,C,62,,,,,,,,,,"118C62
その後、薬剤性肺障害が改善し人工呼吸器から離脱、一般病棟へ転棟となった。リハビリテーションを開始して身体機能と食事摂取量は回復し、入院してから2ヵ月後に自宅退院となった。退院して1ヵ月後に家族に付き添われて外来受診した。かろうじて自力歩行しており体重は3ヵ月前から10kg減少していた。全身精査を行ったところ、縦隔リンパ節は以前よりさらに腫大し新たに肝臓と肺に多発転移を認めた。患者本人と家族は積極的な治療を望んでいない。疼痛を認めないが、癌悪液質が進行していると診断された。 この時点で行うべき対応はどれか。2つ選べ。 C060
a 放射線療法を勧める。
b 緩和ケアについて説明する。
c 在宅ケアに関する患者の意向を聞く。
d 異なる種類の殺細胞性薬による治療を勧める。
e 免疫チェックポイント阻害薬による治療を勧める。
================================================================================",,
118C66,118,C,66,,,,,,,,,,"-68 基準値
次の文を読み，66〜68の問いに答えよ．
61歳の男性．交通外傷のため救急車で搬入された．
現病歴：乗用車で走行中に塀に衝突し腹部を強打し動けない状態だった．シートベルトを装着しておりエアバッグが作動していた．目撃者が救急車を要請した．
既往歴：虚血性心疾患で抗血小板薬を服用している．
生活歴：飲酒は機会飲酒．
家族歴：父と兄が高血圧症で治療中である．
現症：意識は清明．身長162cm，体重54kg．体温37.0℃．心拍数112/分，整．血圧80/44mmHg．呼吸数26/分．SpO2 98％（リザーバー付マスク10L/分　酸素投与下）．皮膚は四肢に冷汗と湿潤を認める．眼瞼結膜と眼球結膜とに異常を認めない．口腔内は乾燥している．頸静脈の怒張を認めない．心音と呼吸音とに異常を認めない．腹部は膨満しており，肝・脾を触知しない．腸雑音は減弱している．
検査所見：血液所見：赤血球410万，Hb 10.1g/dL，Ht 40％，白血球10,300（好中球75％，好酸球1％，好塩基球1％，単球6％，リンパ球17％），血小板32万．血液生化学所見：総蛋白7.2g/dL，アルブミン4.0g/dL，総ビリルビン0.9mg/dL，直接ビリルビン0.2mg/dL，AST 65U/L，ALT 34U/L，LD 177U/L（基準124〜222），ALP 55U/L（基準38〜113），γ-GT 32U/L（基準13〜64），アミラーゼ130U/L（基準44〜132），CK 382U/L（基準59〜248），尿素窒素22mg/dL，クレアチニン0.6mg/dL，尿酸6.2mg/dL，血糖228mg/dL，HbA1c 5.8％（基準4.9〜6.0），Na 142mEq/L，K 4.4mEq/L，Cl 97mEq/L．
[C066]
この時点での適切な対応はどれか．2つ選べ．
ａ　血小板輸血を行う．
0.1%
ｂ　鎮静薬を静脈内投与する．
0.3%
ｃ　乳酸リンゲル液を急速投与する．
98.2%
ｄ　体位を逆Trendelenburg位にする．
1.5%
ｅ　迅速簡易超音波検査〈FAST〉を行う．
99.9%
[C067]
その後，頭頸部単純CTでは異常を認めなかった．胸腹部造影CTでは脾臓損傷，脾臓内および周囲の造影剤血管外漏出像，腹腔内遊離ガス及び腹腔内液体貯留を認めた．気管",,
118D12,118,D,12,,,,,,,,,,"解答:
正解:b,d(正答率 81.4%)",,
118D13,118,D,13,,,,,,,,,,"解答:
正解:a,c,d(正答率 88.8%)",,
118D14,118,D,14,,,,,,,,,,"解答:
正解:a,b,d(正答率 43.6%)",,
118D15,118,D,15,,,,,,,,,,"解答:
正解:a,d,e(正答率 93.8%)",,
118D67,118,D,67,,,,,,,,,,"解答:
正解:a,c(正答率 90.1%)",,
118D68,118,D,68,,,,,,,,,,"解答:
正解:c,d(正答率 44.6%)",,
118D69,118,D,69,,,,,,,,,,"解答:
正解:c,d(正答率 96.5%)",,
118D70,118,D,70,,,,,,,,,,"解答:
正解:a,d(正答率 86.9%)",,
118D71,118,D,71,,,,,,,,,,"解答:
正解:b,e(正答率 93.6%)",,
118D72,118,D,72,,,,,,,,,,"解答:
正解:a,c(正答率 61.7%)",,
118D73,118,D,73,,,,,,,,,,"解答:
正解:c,d(正答率 93.1%)",,
118D74,118,D,74,,,,,,,,,,"解答:
正解:a,b,d(正答率 82.2%)",,
118F31,118,F,31,,,,,,,,,,"解答:
正解:c,e(正答率 37.4%)",,
118F32,118,F,32,,,,,,,,,,"解答:
正解:b,c(正答率 69.7%)",,
118F33,118,F,33,,,,,,,,,,"解答:
正解:c,e(正答率 90.3%)",,
118F34,118,F,34,,,,,,,,,,"解答:
正解:b,e(正答率 91.6%)",,
118F35,118,F,35,,,,,,,,,,"解答:
正解:c,d(正答率 97.9%)",,
118F58,118,F,58,,,,,,,,,,"解答:
正解:c,d(正答率 93.5%)",,
118F59,118,F,59,,,,,,,,,,"解答:
正解:a,d,e(正答率 97.0%)",,
118F60,118,F,60,,,,,,,,,,"解答:
正解:b,c,e(正答率 99.4%)",,
118F67,118,F,67,,,,,,,,,,"-69 基準値
次の文を読み，67〜69の問いに答えよ．
80歳の男性．発熱と排尿困難を主訴に来院した．
現病歴：3日前から排尿困難を自覚していた．本日から悪寒戦慄を伴う発熱が出現したため救急外来を受診した．
既往歴：高血圧症，糖尿病，脂質異常症，うつ病および蕁麻疹に対してアンジオテンシン変換酵素〈ACE〉阻害薬，DPP-4阻害薬，スタチン，三環系抗うつ薬およびヒスタミンH1受容体拮抗薬を内服している．
生活歴：65歳までは会社員で，現在は無職である．一人暮らし．喫煙は70歳まで10本/日を50年間，飲酒は機会飲酒．ネコを飼育している．
家族歴：父が脳梗塞，母が糖尿病．
現症：意識は清明．身長170cm，体重72kg．体温38.8℃．脈拍112/分，整．血圧136/60mmHg．呼吸数26/分．SpO2 98％（room air）．眼瞼結膜と眼球結膜とに異常を認めない．甲状腺腫と頸部リンパ節とを触知しない．心音と呼吸音とに異常を認めない．下腹部が膨隆しているが，圧痛を認めない．肝・脾は触知しない．左の肋骨脊柱角に叩打痛を認める．直腸指診で4cm大の前立腺を触知し，圧痛を認めない．
検査所見：尿所見：蛋白1＋，糖1＋，潜血（－），沈渣に赤血球1〜4/HPF，白血球100以上/HPFを認める．血液所見：赤血球461万，Hb 14.9g/dL，Ht 44％，白血球14,300（桿状核好中球2％，分葉核好中球90％，好酸球1％，好塩基球1％，単球3％，リンパ球3％），血小板12万，PT-INR 1.18（基準0.9〜1.1）．血液生化学所見：総蛋白6.6g/dL，アルブミン3.9g/dL，総ビリルビン1.5mg/dL，直接ビリルビン0.4mg/dL，AST 13U/L，ALT 15U/L，LD 219U/L（基準124〜222），ALP 79U/L（基準38〜113），γ-GT 30U/L（基準13〜64），CK 76U/L（基準59〜248），尿素窒素26mg/dL，クレアチニン1.3mg/dL，尿酸4.7mg/dL，血糖120mg/dL，HbA1c 7.0％（基準4.9〜6.0），総コレステロール197mg/dL，トリグリセリド226mg/dL，HDLコレステロール69mg/dL，LDLコレステロール83mg/dL，Na 138mEq/L，K 4.5mEq/L，Cl 1",,
118F69,118,F,69,,,,,,,,,,"118F69
入院4日目も発熱が持続している。意識は清明。発熱とともに脈拍の増加がみられるが、血圧と呼吸数は安定している。左肋骨脊柱角の叩打痛が残っている。皮疹や粘膜の異常は認めない。尿道カテーテルからの尿の流出は良好である。 この時点で追加すべき検査はどれか。2つ選べ。 F067
a 血液培養
b 前立腺生検
c 血中コルチゾール
d 腹部・骨盤部造影CT
e 抗菌薬を用いたリンパ球刺激試験
================================================================================",,
119A12,119,A,12,,,,,,,,,,"解答:
正解:c,e(正答率 48.6%)",,
119A13,119,A,13,,,,,,,,,,"解答:
正解:c,d(正答率 94.7%)",,
119A14,119,A,14,,,,,,,,,,"解答:
正解:d,e(正答率 95.5%)",,
119A70,119,A,70,,,,,,,,,,"解答:
正解:a,e(正答率 64.3%)",,
119A71,119,A,71,,,,,,,,,,"解答:
正解:a,e(正答率 73.1%)",,
119A72,119,A,72,,,,,,,,,,"解答:
正解:c,e(正答率 84.7%)",,
119A73,119,A,73,,,,,,,,,,"解答:
正解:b,e(正答率 92.8%)",,
119A74,119,A,74,,,,,,,,,,"解答:
正解:a,b(正答率 65.2%)",,
119C32,119,C,32,,,,,,,,,,"解答:
正解:b,e(正答率 96.5%)",,
119C33,119,C,33,,,,,,,,,,"解答:
正解:b,e(正答率 51.7%)",,
119C34,119,C,34,,,,,,,,,,"解答:
正解:a,b(正答率 94.5%)",,
119C35,119,C,35,,,,,,,,,,"解答:
正解:b,d,e(正答率 42.2%)",,
119C58,119,C,58,,,,,,,,,,"解答:
正解:a,d(正答率 83.3%)",,
119D12,119,D,12,,,,,,,,,,"解答:
正解:c,d(正答率 86.7%)",,
119D13,119,D,13,,,,,,,,,,"解答:
正解:a,b(正答率 93.8%)",,
119D14,119,D,14,,,,,,,,,,"解答:
正解:b,e(正答率 75.5%)",,
119D15,119,D,15,,,,,,,,,,"解答:
正解:b,c,d(正答率 90.2%)",,
119D70,119,D,70,,,,,,,,,,"解答:
正解:b,e(正答率 96.3%)",,
119D71,119,D,71,,,,,,,,,,"解答:
正解:b,e(正答率 74.0%)",,
119D72,119,D,72,,,,,,,,,,"解答:
正解:b,c(正答率 12.7%)",,
119D73,119,D,73,,,,,,,,,,"解答:
正解:b,c(正答率 82.9%)",,
119D74,119,D,74,,,,,,,,,,"解答:
正解:b,c(正答率 93.6%)",,
119D75,119,D,75,,,,,,,,,,"解答:
正解:a,b,c(正答率 98.5%)",,
119E28,119,E,28,,,,,,,,,,"解答:
正解:a,c(正答率 87.1%)",,
119F28,119,F,28,,,,,,,,,,"解答:
正解:b,d(正答率 85.8%)",,
119F29,119,F,29,,,,,,,,,,"解答:
正解:a,b(正答率 96.8%)",,
119F30,119,F,30,,,,,,,,,,"解答:
正解:a,c(正答率 49.8%)",,
119F31,119,F,31,,,,,,,,,,"解答:
正解:a,d(正答率 64.3%)",,
119F32,119,F,32,,,,,,,,,,"解答:
正解:c,e(正答率 93.6%)",,
119F33,119,F,33,,,,,,,,,,"解答:
正解:a,e(正答率 96.5%)",,
119F34,119,F,34,,,,,,,,,,"解答:
正解:b,c,e(正答率 85.1%)",,
119F35,119,F,35,,,,,,,,,,"解答:
正解:b,d,e(正答率 99.1%)",,
119F56,119,F,56,,,,,,,,,,"解答:
正解:b,e(正答率 90.0%)",,
119F57,119,F,57,,,,,,,,,,"解答:
正解:b,d(正答率 97.6%)",,
119F58,119,F,58,,,,,,,,,,"解答:
正解:b,c(正答率 97.2%)",,
119F59,119,F,59,,,,,,,,,,"解答:
正解:b,c(正答率 96.1%)",,
119F60,119,F,60,,,,,,,,,,"-62 基準値
次の文を読み，60〜62の問いに答えよ．
76歳の男性．強いふらつきを主訴に救急車で搬入された．
現病歴：3ヵ月前から倦怠感やふらつきが目立ち，寒がるようになった．動作緩慢，便秘および経口摂取減少も出現したが加齢によるものと本人が思い様子をみていた．本日，倦怠感とふらつきが増強したため妻が救急車を要請した．
既往歴：1年4ヵ月前に中咽頭癌に対し化学放射線療法が施行され，6ヵ月ごとに定期通院中．
生活歴：70歳まで会社役員．妻と2人暮らし．喫煙歴はない．飲酒は日本酒1〜2合/日を40年間．
家族歴：弟が慢性肝炎．
現症：意識は清明．身長165cm，体重60kg．体温35.8℃．心拍数48/分，整．血圧98/68mmHg．呼吸数20/分．SpO2 97％（room air）．皮膚は乾燥しているが，色素沈着は認めない．眼瞼結膜と眼球結膜とに異常を認めない．口腔内は乾燥しているが，咽頭発赤は認めない．頸静脈の怒張を認めない．甲状腺腫と頸部リンパ節とを触知しない．心音と呼吸音とに異常を認めない．腹部は平坦，軟で，肝・脾を触知しない．
検査所見：尿所見：蛋白（－），糖（－），ケトン体（－），潜血（－）．血液所見：赤血球362万，Hb 11.7g/dL，Ht 35％，白血球4,100，血小板14万．血液生化学所見：総蛋白6.3g/dL，総ビリルビン0.5mg/dL，AST 34U/L，ALT 32U/L，LD 220U/L（基準124〜222），尿素窒素15mg/dL，クレアチニン1.1mg/dL，血糖92mg/dL，総コレステロール288mg/dL，Na 138mEq/L，K 2.8mEq/L，Cl 101mEq/L，TSH 98μU/mL（基準0.2〜4.0），FT3 1.8pg/mL（基準2.3〜4.3），FT4 0.1ng/dL（基準0.8〜2.2），コルチゾール12.4μg/dL（基準5.2〜12.6）．CRP 0.1mg/dL．心電図は洞性徐脈でST-T変化を認めない．胸部X線写真で心胸郭比48％．
[F060]
この患者で予測される身体所見はどれか．2つ選べ．
ａ　多毛
5.0%
ｂ　甲状腺圧痛
1.4%
ｃ　両手指振戦
2.2%
ｄ　非圧痕性浮腫
99.0%
ｅ　アキレス腱反射弛緩相遅延
92.4%
[F061]
この患者の血液検査で高値と予想され",,
119F61,119,F,61,,,,,,,,,,"119F61
この患者の血液検査で高値と予想されるのはどれか。2つ選べ。
a ALP
b アルブミン
c クレアチンキナーゼ
d LDLコレステロール
e 抗TSH受容体抗体〈TRAb〉
================================================================================",,
119F66,119,F,66,,,,,,,,,,"-68 基準値
次の文を読み，66〜68の問いに答えよ．
73歳の女性．記銘力低下を主訴に長女に連れられて来院した．
現病歴：2ヵ月前から急に物忘れがひどくなり，家族に心配され来院した．①バスに乗って買い物に行っても，②レジでの支払いができなくなり，生活用品は長女が買って届けている．食事は宅配のお弁当を利用しており，③ひとりで食べられる．しかし偏食のため食べ残しが多い．④着替えは自分でできる．最近は家で過ごす時間が長くなり，友人から誘われても⑤趣味のゲートボールに行かなくなった．
既往歴：18歳時に虫垂炎で手術歴あり．
生活歴：喫煙歴はない．飲酒は機会飲酒．車で30分の距離に長女夫婦が住んでいる．アレルギー歴はない．
家族歴：父は心筋梗塞で死亡．母は肺炎で死亡．夫は梅毒罹患歴があり，3年前，75歳時に膵癌で死亡．
現症：意識は清明．意思疎通は可能で，礼節は保たれている．身長157cm，体重52kg．体温36.2℃．脈拍84/分，整．血圧128/76mmHg．呼吸数12/分．皮膚と粘膜に異常を認めない．心音と呼吸音とに異常を認めない．腹部は右下腹部に手術痕を認める．歩行はゆっくりだが，前傾姿勢は認めない．
検査所見：尿所見：蛋白（－），糖（－）．血液所見：赤血球438万，Hb 13.2g/dL，Ht 40％，白血球6,800，血小板21万．血液生化学所見：総蛋白6.5g/dL，アルブミン3.5g/dL，AST 26U/L，ALT 18U/L，LD 162U/L（基準124〜222），γ-GT 16U/L（基準9〜32），アンモニア22μg/dL（基準18〜48），尿素窒素16mg/dL，クレアチニン0.7mg/dL，血糖96mg/dL，Na 142mEq/L，K 4.2mEq/L，Cl 98mEq/L，Ca 8.6mg/dL．CRP 0.1mg/dL．
[F066]
下線部のうち，基本的日常生活動作〈ADL〉に該当するものはどれか．2つ選べ．
ａ　①
0.3%
ｂ　②
0.1%
ｃ　③
99.8%
ｄ　④
99.7%
ｅ　⑤
0.1%
[F067]
血中梅毒トレポネーマ抗体〈TPHA〉と非トレポネーマ脂質抗体〈RPR〉はいずれも陽性，ヒト免疫不全ウイルス〈HIV〉抗原抗体は陰性であった．頭部単純CTで明らかな異常を認めない．
記銘力低下の原因を鑑別するために追加すべき",,
119F67,119,F,67,,,,,,,,,,"119F67
血中梅毒トレポネーマ抗体〈TPHA〉と非トレポネーマ脂質抗体〈RPR〉はいずれも陽性、ヒト免疫不全ウイルス〈HIV〉抗原抗体は陰性であった。頭部単純CTで明らかな異常を認めない。 記銘力低下の原因を鑑別するために追加すべき血液検査項目はどれか。2つ選べ。
a 葉酸
b ビタミンD
c ビタミンB1
d β2-マイクログロブリン
e 甲状腺刺激ホルモン〈TSH〉
================================================================================",,
